Process Image Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
293,1596868898.762084,1596868898.844815,82.731247,-0.100220
294,1596868898.862305,1596868898.945111,82.806110,-0.100221
295,1596868898.962524,1596868899.045228,82.704067,-0.100219
296,1596868899.062742,1596868899.145474,82.732201,-0.100218
297,1596868899.162967,1596868899.245699,82.732439,-0.100225
298,1596868899.263170,1596868899.345921,82.750320,-0.100204
299,1596868899.363394,1596868899.446125,82.731009,-0.100223
300,1596868899.463622,1596868899.546525,82.903385,-0.100228
301,1596868899.563827,1596868899.646569,82.741261,-0.100205
302,1596868899.664050,1596868899.746752,82.702160,-0.100222
303,1596868899.764297,1596868899.847025,82.727194,-0.100248
304,1596868899.864506,1596868899.947186,82.679987,-0.100209
305,1596868899.964762,1596868900.047485,82.722902,-0.100256
306,1596868900.064971,1596868900.147693,82.721949,-0.100209
307,1596868900.165198,1596868900.247880,82.682133,-0.100226
308,1596868900.265414,1596868900.348116,82.702160,-0.100216
309,1596868900.365636,1596868900.448344,82.707405,-0.100223
310,1596868900.465864,1596868900.549896,84.031820,-0.100228
311,1596868900.566140,1596868900.648881,82.741737,-0.100276
312,1596868900.666391,1596868900.749087,82.696438,-0.100251
313,1596868900.766599,1596868900.849326,82.726955,-0.100208
314,1596868900.866815,1596868900.949511,82.695484,-0.100216
315,1596868900.967045,1596868901.049770,82.725048,-0.100230
316,1596868901.067277,1596868901.150161,82.883596,-0.100232
317,1596868901.167502,1596868901.250198,82.696438,-0.100224
318,1596868901.267699,1596868901.350407,82.707644,-0.100198
319,1596868901.367929,1596868901.450668,82.739353,-0.100229
320,1596868901.468166,1596868901.550861,82.694292,-0.100238
321,1596868901.568373,1596868901.651062,82.689285,-0.100207
322,1596868901.668632,1596868901.751317,82.684755,-0.100259
323,1596868901.768837,1596868901.851542,82.704782,-0.100205
324,1596868901.869079,1596868901.951827,82.748413,-0.100242
325,1596868901.969302,1596868902.052029,82.727432,-0.100223
326,1596868902.069591,1596868902.152336,82.744598,-0.100289
327,1596868902.169795,1596868902.252458,82.662821,-0.100204
328,1596868902.270027,1596868902.352742,82.714319,-0.100232
329,1596868902.370236,1596868902.452923,82.687140,-0.100208
330,1596868902.470461,1596868902.553200,82.738400,-0.100225
331,1596868902.570657,1596868902.653319,82.661390,-0.100196
332,1596868902.670870,1596868902.753547,82.677364,-0.100213
333,1596868902.771070,1596868902.853729,82.659245,-0.100200
334,1596868902.871265,1596868902.953949,82.684755,-0.100194
335,1596868902.971469,1596868903.054163,82.694292,-0.100204
336,1596868903.071664,1596868903.154372,82.708359,-0.100195
337,1596868903.171855,1596868903.254549,82.694054,-0.100191
338,1596868903.272090,1596868903.354837,82.746744,-0.100235
339,1596868903.372275,1596868903.454941,82.666159,-0.100184
340,1596868903.472537,1596868903.555820,83.282948,-0.100262
341,1596868903.572786,1596868903.655757,82.971096,-0.100249
342,1596868903.672975,1596868903.755728,82.752466,-0.100189
343,1596868903.773467,1596868903.856383,82.915545,-0.100492
344,1596868903.873601,1596868903.956359,82.758427,-0.100134
345,1596868903.973824,1596868904.056509,82.685947,-0.100223
346,1596868904.074081,1596868904.156817,82.736015,-0.100258
347,1596868904.174292,1596868904.257032,82.739592,-0.100211
348,1596868904.274530,1596868904.357241,82.711220,-0.100238
349,1596868904.374765,1596868904.457451,82.686186,-0.100235
350,1596868904.474990,1596868904.557702,82.712173,-0.100225
351,1596868904.575216,1596868904.657935,82.718372,-0.100227
352,1596868904.675452,1596868904.758172,82.720757,-0.100235
353,1596868904.775675,1596868904.858408,82.732916,-0.100224
354,1596868904.875941,1596868904.958712,82.770824,-0.100266
355,1596868904.976132,1596868905.058807,82.674980,-0.100191
356,1596868905.076375,1596868905.159019,82.644939,-0.100243
357,1596868905.176583,1596868905.259279,82.696199,-0.100209
358,1596868905.276772,1596868905.359419,82.647085,-0.100189
359,1596868905.376984,1596868905.459690,82.705975,-0.100212
360,1596868905.477233,1596868905.559889,82.655430,-0.100249
361,1596868905.577402,1596868905.660089,82.686901,-0.100169
362,1596868905.677625,1596868905.760373,82.747459,-0.100223
363,1596868905.777864,1596868905.860576,82.711697,-0.100239
364,1596868905.878109,1596868905.960777,82.667112,-0.100245
365,1596868905.978311,1596868906.061194,82.882404,-0.100202
366,1596868906.078520,1596868906.162573,84.052563,-0.100209
367,1596868906.178746,1596868906.261488,82.741499,-0.100226
368,1596868906.278970,1596868906.361742,82.771540,-0.100224
369,1596868906.379193,1596868906.461951,82.757950,-0.100222
370,1596868906.479490,1596868906.562246,82.756281,-0.100297
371,1596868906.579744,1596868906.663988,84.243774,-0.100254
372,1596868906.679956,1596868906.762706,82.750082,-0.100212
373,1596868906.780152,1596868906.862889,82.737207,-0.100196
374,1596868906.880352,1596868906.963117,82.764387,-0.100201
375,1596868906.980588,1596868907.063301,82.712412,-0.100236
376,1596868907.080753,1596868907.163545,82.792521,-0.100164
